2025-08-31 04:06:52,380 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:06:52,381 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:07:11,032 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:33:57,623 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:53,913 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:43:55,307 - RTPM_APP - WARNING - Frame sync mismatch: expected 48, got 46
2025-08-31 04:43:55,409 - RTPM_APP - WARNING - Frame sync mismatch: expected 49, got 47
2025-08-31 04:43:55,481 - RTPM_APP - WARNING - Frame sync mismatch: expected 50, got 48
2025-08-31 04:43:55,569 - RTPM_APP - WARNING - Frame sync mismatch: expected 51, got 49
2025-08-31 04:43:55,660 - RTPM_APP - WARNING - Frame sync mismatch: expected 52, got 50
2025-08-31 04:43:55,753 - RTPM_APP - WARNING - Frame sync mismatch: expected 53, got 51
2025-08-31 04:43:55,823 - RTPM_APP - WARNING - Frame sync mismatch: expected 54, got 52
2025-08-31 04:43:55,919 - RTPM_APP - WARNING - Frame sync mismatch: expected 55, got 53
2025-08-31 04:43:56,048 - RTPM_APP - WARNING - Frame sync mismatch: expected 56, got 54
2025-08-31 04:43:56,132 - RTPM_APP - WARNING - Frame sync mismatch: expected 57, got 55
2025-08-31 04:43:56,220 - RTPM_APP - WARNING - Frame sync mismatch: expected 58, got 56
2025-08-31 04:43:56,306 - RTPM_APP - WARNING - Frame sync mismatch: expected 59, got 57
2025-08-31 04:43:56,385 - RTPM_APP - WARNING - Frame sync mismatch: expected 60, got 58
2025-08-31 04:43:56,469 - RTPM_APP - WARNING - Frame sync mismatch: expected 61, got 59
2025-08-31 04:43:56,563 - RTPM_APP - WARNING - Frame sync mismatch: expected 62, got 60
2025-08-31 04:43:56,653 - RTPM_APP - WARNING - Frame sync mismatch: expected 63, got 61
2025-08-31 04:43:56,754 - RTPM_APP - WARNING - Frame sync mismatch: expected 64, got 62
2025-08-31 04:43:56,841 - RTPM_APP - WARNING - Frame sync mismatch: expected 65, got 63
2025-08-31 04:43:56,935 - RTPM_APP - WARNING - Frame sync mismatch: expected 66, got 64
2025-08-31 04:43:57,032 - RTPM_APP - WARNING - Frame sync mismatch: expected 67, got 65
2025-08-31 04:43:57,113 - RTPM_APP - WARNING - Frame sync mismatch: expected 68, got 66
2025-08-31 04:43:57,209 - RTPM_APP - WARNING - Frame sync mismatch: expected 69, got 67
